abandonment,abandon
annihilation,annihil
anniversaries,anniversari
announce,announc
announcement,announc
announces,announc
annoyance,annoy
annoyance,annoy
annoyances,annoy
annoying,annoy
annual,annual
annuelle,annuell
anomalies,anomali
anoother,anooth
another,anoth
anstice,anstic
answer,answer
answerable,answer
antagonistic,antagonist
antarctic,antarct
anteater,anteat
antechamber,antechamb
antelope,antelop
antelopes,antelop
antennae,antenna
anticipate,anticip
anticipate,anticip
anticipates,anticip
anticipation,anticip
anticipative,anticip
anticipative,anticip
antilles,antill
antipodes,antipod
antiquaries,antiquari
antiques,antiqu
antiquities,antiqu
anxieties,anxieti
anymore,anymor
anyone,anyon
anywhere,anywher
anywheres,anywher
apace,apac
apartment,apart
apate,apat
apate,apat
ape,ape
apennines,apennin
aperture,apertur
apertures,apertur
apiece,apiec
apire,apir
apires,apir
apollinaris,apollinari
apologetic,apologet
apologies,apolog
apologise,apologis
apologize,apolog
apologize,apolog
apologizes,apolog
apoplectic,apoplect
apostle,apostl
apostles,apostl
apostrophe,apostroph
apothecaries,apothecari
appanage,appanag
apparition,apparit
appeal,appeal
appearance,appear
appearance,appear
appearances,appear
appease,appeas
appellation,appel
appendage,appendag
appendages,appendag
appetite,appetit
appetites,appetit
appiness,appi
applause,applaus
apple,appl
apples,appl
appliances,applianc
applicable,applic
application,applic
applies,appli
applying,appli
appointment,appoint
appreciable,appreci
appreciate,appreci
appreciate,appreci
appreciates,appreci
appreciation,appreci
apprehension,apprehens
apprehensive,apprehens
apprentice,apprentic
apprentices,apprentic
apprise,appris
approaches,approach
approbation,approb
appropriate,appropri
appropriate,appropri
appropriateness,appropri
appropriation,appropri
approval,approv
approve,approv
approves,approv
approximate,approxim
approximate,approxim
appurtenance,appurten
appurtenance,appurten
appurtenances,appurten
aptenodytes,aptenodyt
aptitude,aptitud
aptness,apt
aptnesses,apt
aquatic,aquat
aquiline,aquilin
aquilines,aquilin
arabic,arab
arachnidae,arachnida
arbiter,arbit
arcade,arcad
arcades,arcad
archducal,archduc
archer,archer
arches,arch
archipelagoes,archipelago
architectural,architectur
architecture,architectur
archness,arch
arctic,arctic
ardness,ard
are,are
arenales,arenal
argue,argu
argues,argu
argument,argument
argumentative,argument
argumentative,argument
arise,aris
arises,aris
aristides,aristid
aristocratic,aristocrat
arithmetic,arithmet
arithmetical,arithmet
armadilloes,armadillo
armhole,armhol
armies,armi
armorial,armori
armourer,armour
aromatic,aromat
arose,aros
arouse,arous
arragonite,arragonit
arrange,arrang
arrangement,arrang
arranges,arrang
arraying,array
arrecife,arrecif
arrival,arriv
arrive,arriv
arrives,arriv
arrogance,arrog
arrogance,arrog
arter,arter
artevelde,arteveld
artfulness,art
artichoke,artichok
artichokes,artichok
article,articl
articles,articl
articulate,articul
articulate,articul
artifice,artific
artifices,artific
artificial,artifici
artistic,artist
artistical,artist
artlessness,artless
ascal,ascal
ascension,ascens
ascetic,ascet
ascidiae,ascidia
ascribable,ascrib
ascribe,ascrib
ascribes,ascrib
ashes,ash
ashore,ashor
asiatic,asiat
asiatiques,asiatiqu
aside,asid
askance,askanc
askance,askanc
aspirate,aspir
aspirate,aspir
aspiration,aspir
aspire,aspir
aspires,aspir
assayer,assay
assemblage,assemblag
assemble,assembl
assembles,assembl
assemblies,assembl
assertion,assert
asses,ass
assignable,assign
assignment,assign
assimilation,assimil
assistance,assist
assistance,assist
assize,assiz
assize,assiz
assizes,assiz
associate,associ
associate,associ
associates,associ
association,associ
assortment,assort
assume,assum
assumes,assum
assumption,assumpt
assurance,assur
assurance,assur
assurances,assur
assure,assur
assures,assur
astonishes,astonish
astonishment,astonish
astride,astrid
astrolabe,astrolab
astronomical,astronom
astute,astut
asunder,asund
ate,ate
ate,ate
athene,athen
athletic,athlet
atlantic,atlant
atmosphere,atmospher
atmospheric,atmospher
atone,aton
atonement,aton
atrocities,atroc
attache,attach
attaches,attach
attachment,attach
attagis,attagi
attainable,attain
attainment,attain
attendance,attend
attendance,attend
attendances,attend
attention,attent
attentive,attent
attic,attic
attire,attir
attitude,attitud
attitudes,attitud
attraction,attract
attractive,attract
attributable,attribut
attribute,attribut
attributes,attribut
attrition,attrit
atwater,atwat
auction,auction
audible,audibl
audible,audibl
audience,audienc
audiences,audienc
augment,augment
augmentation,augment
auguries,auguri
auguste,august
aureole,aureol
auspices,auspic
austere,auster
australes,austral
authentic,authent
authoritative,authorit
authoritative,authorit
authorities,author
autobiographies,autobiographi
autocratic,autocrat
autre,autr
autres,autr
autumnal,autumn
auvergne,auvergn
auxiliaries,auxiliari
available,avail
avarice,avaric
ave,ave
avenge,aveng
avenger,aveng
avenges,aveng
avenue,avenu
avenues,avenu
average,averag
averse,avers
aversion,avers
avoidable,avoid
avoidance,avoid
avoidance,avoid
avowal,avow
awake,awak
awakes,awak
aware,awar
awe,awe
awhile,awhil
awhiles,awhil
awkwardness,awkward
awoke,awok
axe,axe
axes,axe
axis,axi
axles,axl
aye,aye
ayres,ayr
azarae,azara
azores,azor
azure,azur
babble,babbl
babe,babe
babes,babe
babies,babi
backbone,backbon
backer,backer
backwardness,backward
bade,bade
badge,badg
badger,badger
badges,badg
badinage,badinag
badness,bad
bagatelle,bagatell
baggage,baggag
baillie,bailli
baize,baiz
baize,baiz
baker,baker
balance,balanc
balance,balanc
balcarce,balcarc
balconies,balconi
bale,bale
bales,bale
balustrade,balustrad
balustrades,balustrad
bandage,bandag
bandages,bandag
bandboxes,bandbox
bandmaster,bandmast
bandying,bandi
bane,bane
banishe,banish
banishes,banish
banishment,banish
banker,banker
banknotes,banknot
bankruptcies,bankruptci
banner,banner
banshee,banshe
banter,banter
baptismal,baptism
barbare,barbar
barber,barber
barcaroles,barcarol
bare,bare
barge,barg
barges,barg
barker,barker
barmherzige,barmherzig
barnacles,barnacl
barometer,baromet
baroness,baro
baronesses,baro
baronial,baroni
barouche,barouch
barre,barr
barrenness,barren
barricade,barricad
barrier,barrier
barrister,barrist
barter,barter
basal,basal
basaltic,basalt
base,base
basement,basement
baseness,base
baser,baser
bases,base
bashfulness,bash
basis,basi
basque,basqu
bate,bate
bate,bate
bathe,bath
bathes,bath
battalion,battalion
batter,batter
battle,battl
battles,battl
bauble,baubl
baubles,baubl
baying,bay
baynoe,bayno
be,be
beaches,beach
beadle,beadl
beadles,beadl
beagle,beagl
bearer,bearer
beastliness,beastli
beauties,beauti
beaver,beaver
became,becam
because,becaus
become,becom
becomes,becom
bedchamber,bedchamb
bedclothes,bedcloth
bedevilment,bedevil
bedside,bedsid
bedtime,bedtim
bee,bee
beehive,beehiv
beer,beer
bees,bee
beeswaxes,beeswax
beetle,beetl
beetles,beetl
befillaire,befillair
before,befor
begone,begon
begrimes,begrim
begrudge,begrudg
beguile,beguil
behave,behav
behaves,behav
beholder,behold
behoves,behov
beldame,beldam
belgrave,belgrav
belie,beli
believe,believ
believer,believ
believes,believ
belle,bell
bellies,belli
bellower,bellow
belvedere,belveder
bencher,bencher
benches,bench
benediction,benedict
beneficial,benefici
benevolence,benevol
bengal,bengal
berkele,berkel
beroe,bero
berries,berri
beseeches,beseech
beseeltes,beseelt
beside,besid
besides,besid
bespoke,bespok
bestowal,bestow
betake,betak
betimes,betim
betrayal,betray
betraying,betray
better,better
betther,betther
betuloides,betuloid
betwee,betwe
beverage,beverag
beware,bewar
bewilder,bewild
bewilderment,bewilder
bible,bibl
bible,bibl
biddable,biddabl
bidder,bidder
bide,bide
bifurcation,bifurc
bigger,bigger
bigness,big
bile,bile
bindloes,bindlo
biographical,biograph
birdcage,birdcag
birthplace,birthplac
bisection,bisect
bishopgate,bishopg
bishopgate,bishopg
bishopric,bishopr
bishopsgate,bishopsg
bishopsgate,bishopsg
bisness,bis
bite,bite
bites,bite
bitter,bitter
bitterer,bitter
bitterness,bitter
bivalves,bivalv
blackberries,blackberri
blacker,blacker
blackstone,blackston
bladder,bladder
blade,blade
blades,blade
blamable,blamabl
blame,blame
blameable,blameabl
blamelessness,blameless
blames,blame
blanche,blanch
blankness,blank
blasphemer,blasphem
blaze,blaze
bleakness,bleak
blemishes,blemish
blessedness,blessed
blesses,bless
blinder,blinder
blindness,blind
blindnesses,blind
blister,blister
blithe,blith
blitheness,blith
blockade,blockad
bloodlessness,bloodless
blotches,blotch
blower,blower
blowpipe,blowpip
blubber,blubber
blue,blue
blues,blue
blunder,blunder
blunderbore,blunderbor
bluntness,blunt
blushes,blush
bluster,bluster
boarder,boarder
boastfulness,boast
bobster,bobster
bodice,bodic
bodies,bodi
bodilessness,bodiless
boer,boer
boffinites,boffinit
boiler,boiler
bois,boi
bolder,bolder
boldness,bold
bole,bole
boles,bole
bolster,bolster
bolter,bolter
bondage,bondag
bone,bone
bones,bone
bonfires,bonfir
bonne,bonn
boodle,boodl
bookcase,bookcas
booker,booker
bookseller,booksel
border,border
bore,bore
bores,bore
borne,born
boroughbridge,boroughbridg
borrower,borrow
bosomer,bosom
bosses,boss
botanic,botan
botanical,botan
bother,bother
botheration,bother
bottle,bottl
bottles,bottl
bougainville,bougainvill
boulder,boulder
bouleversees,bouleverse
boulogne,boulogn
boundaries,boundari
bounde,bound
boungites,boungit
bourgeois,bourgeoi
bourne,bourn
bower,bower
boxes,box
brace,brace
braces,brace
brachiotis,brachioti
brake,brake
brakes,brake
brambles,brambl
branches,branch
branchiae,branchia
branchial,branchial
brasiliensis,brasiliensi
brasses,brass
brave,brave
brawler,brawler
braying,bray
breaches,breach
breaker,breaker
breakwater,breakwat
breathe,breath
breathes,breath
breathlessness,breathless
bree,bree
breeches,breech
breeder,breeder
breeze,breez
breezes,breez
brewer,brewer
brewster,brewster
bribe,bribe
bribes,bribe
brickmaker,brickmak
bridal,bridal
bride,bride
bridge,bridg
bridges,bridg
bridle,bridl
brier,brier
brigade,brigad
brighter,brighter
brightness,bright
brilliance,brillianc
brilliance,brillianc
brimstone,brimston
brindle,brindl
brine,brine
brisker,brisker
briskness,brisk
bristle,bristl
bristles,bristl
brittle,brittl
broader,broader
broadside,broadsid
broadsides,broadsid
broadwise,broadwis
brocade,brocad
brochure,brochur
broide,broid
broke,broke
broker,broker
bronchial,bronchial
bronchitis,bronchiti
bronze,bronz
brooker,brooker
brooses,broos
brother,brother
broune,broun
browdie,browdi
browdies,browdi
browne,brown
browner,browner
bruce,bruce
bruise,bruis
bruises,bruis
brushes,brush
brusque,brusqu
brutal,brutal
brute,brute
brutes,brute
bryanstone,bryanston
bubble,bubbl
bubbles,bubbl
buckle,buckl
buckler,buckler
buckles,buckl
budge,budg
buffer,buffer
bugle,bugl
builder,builder
bullies,bulli
bullion,bullion
bullying,bulli
bumper,bumper
bunches,bunch
buncombe,buncomb
bundle,bundl
bundles,bundl
bungle,bungl
burdensome,burdensom
burgomaster,burgomast
burgomeister,burgomeist
burial,burial
buries,buri
burlesque,burlesqu
burlinghammer,burlinghamm
burying,buri
bushe,bush
bushes,bush
busier,busier
busies,busi
business,busi
businesslike,businesslik
bustle,bustl
busying,busi
butcher,butcher
butler,butler
butter,butter
butterflies,butterfli
butther,butther
buttonhole,buttonhol
buttresses,buttress
buying,buy
bye,bye
bygone,bygon
bygones,bygon
bynoe,byno
byzantine,byzantin
cabalistic,cabalist
cabbage,cabbag
cabbages,cabbag
cable,cabl
cables,cabl
cabooses,caboos
cachapual,cachapu
cacique,caciqu
caciques,caciqu
cackle,cackl
cactornis,cactorni
cactuses,cactus
cadesses,cadess
cafe,cafe
caffer,caffer
caffre,caffr
caffres,caffr
cage,cage
cages,cage
cake,cake
cakes,cake
calais,calai
calamities,calam
calculate,calcul
calculate,calcul
calculates,calcul
calculation,calcul
calibre,calibr
calle,call
callousness,callous
calmer,calmer
calmness,calm
calumnies,calumni
calve,calv
calves,calv
cambric,cambric
cambridge,cambridg
cambridgeshire,cambridgeshir
came,came
campestris,campestri
canal,canal
canaries,canari
cancer,cancer
candidate,candid
candidate,candid
candidates,candid
candidature,candidatur
candle,candl
candles,candl
cane,cane
canelones,canelon
canes,cane
cangrejales,cangrejal
canis,cani
canister,canist
cannibal,cannib
canoe,cano
canoes,cano
cantal,cantal
canter,canter
capabilities,capabl
capable,capabl
capacities,capac
cape,cape
capital,capit
capitulate,capitul
capitulate,capitul
caprice,capric
caprices,capric
capsule,capsul
captivate,captiv
captivate,captiv
captivater,captivat
captive,captiv
captives,captiv
capture,captur
carabidae,carabida
caracter,caract
carbine,carbin
carbonate,carbon
carbonate,carbon
carcase,carcas
carcasses,carcass
cardinal,cardin
care,care
career,career
carefulness,care
carelessness,careless
cares,care
caresses,caress
cargoes,cargo
caricature,caricatur
caricatures,caricatur
carizal,cariz
carmine,carmin
carnage,carnag
carnation,carnat
carne,carn
carnegie,carnegi
caroline,carolin
carpenter,carpent
carriage,carriag
carriages,carriag
carrie,carri
carrier,carrier
carries,carri
carrion,carrion
carrying,carri
carse,cars
carstone,carston
carte,cart
cartridge,cartridg
cartridges,cartridg
carve,carv
cascade,cascad
cascades,cascad
case,case
casement,casement
cases,case
cashmere,cashmer
caste,cast
castigate,castig
castigate,castig
castigation,castig
castle,castl
castles,castl
casual,casual
casualties,casualti
cataleptic,catalept
catalogue,catalogu
catastrophe,catastroph
catastrophes,catastroph
catches,catch
categories,categori
cathartes,cathart
cathedral,cathedr
catherine,catherin
catholic,cathol
cattle,cattl
caucahue,caucahu
cauquenes,cauquen
cause,caus
causes,caus
caustic,caustic
caution,caution
cave,cave
caves,cave
cavies,cavi
cavities,caviti
cayenne,cayenn
cease,ceas
ceases,ceas
cebrionidae,cebrionida
celebes,celeb
celebrate,celebr
celebrate,celebr
celebration,celebr
celestial,celesti
cellarage,cellarag
cement,cement
cenotherae,cenothera
censure,censur
censures,censur
central,central
centre,centr
centres,centr
centrifugal,centrifug
centuries,centuri
cereal,cereal
ceremonial,ceremoni
ceremonies,ceremoni
certainties,certainti
certificate,certif
certificate,certif
certificates,certif
certifying,certifi
ceryle,ceryl
ces,ces
cesenate,cesen
cesenate,cesen
cessation,cessat
cetrer,cetrer
chafe,chafe
chafes,chafe
chaise,chais
challenge,challeng
challenger,challeng
chamber,chamber
chambre,chambr
chamois,chamoi
champagne,champagn
champion,champion
chance,chanc
chance,chanc
chances,chanc
chandelier,chandeli
chandler,chandler
chaneral,chaner
change,chang
changeable,changeabl
changes,chang
chaotic,chaotic
chaperone,chaperon
chapter,chapter
character,charact
characteristic,characterist
characterize,character
characterize,character
characterizes,character
charade,charad
charcoal,charcoal
charge,charg
chargeable,chargeabl
charges,charg
charitable,charit
charities,chariti
charles,charl
charlie,charli
charlotte,charlott
charmer,charmer
chase,chase
chases,chase
chaste,chast
chastise,chastis
chastisement,chastis
chatter,chatter
chatterer,chatter
cheaper,cheaper
cheapside,cheapsid
cheer,cheer
cheerfulness,cheer
cheeriness,cheeri
cheeryble,cheerybl
cheerybles,cheerybl
cheese,chees
chemical,chemic
chemise,chemis
chenille,chenill
chepones,chepon
cheque,chequ
cheques,chequ
cher,cher
chere,chere
cherishes,cherish
cherizette,cherizett
cherries,cherri
cherryble,cherrybl
cherrybles,cherrybl
cheshires,cheshir
cheval,cheval
chichester,chichest
childishness,childish
childlike,childlik
chile,chile
chiloe,chilo
chimes,chime
chimie,chimi
chimneypiece,chimneypiec
chinchilloides,chinchilloid
chinese,chines
chionis,chioni
chivying,chivi
chizzle,chizzl
chlorides,chlorid
chocolate,chocol
chocolate,chocol
choice,choic
choiceness,choic
choke,choke
chokes,choke
choose,choos
chooses,choos
choruses,chorus
chose,chose
chowser,chowser
christopher,christoph
chronic,chronic
chronicle,chronicl
chronicles,chronicl
chronometrical,chronometr
chrysalis,chrysali
chrysomelidae,chrysomelida
chuckle,chuckl
churches,church
churlishness,churlish
cicadae,cicada
cicidae,cicida
cider,cider
cigarette,cigarett
cigarettes,cigarett
ciliae,cilia
cimabue,cimabu
cincinnatuses,cincinnatus
cinder,cinder
circle,circl
circles,circl
circulates,circul
circulation,circul
circumference,circumfer
circumlocution,circumlocut
circumnavigate,circumnavig
circumnavigate,circumnavig
circumnavigation,circumnavig
circumstance,circumst
circumstance,circumst
circumstances,circumst
circumstantial,circumstanti
citation,citat
cite,cite
cities,citi
citigrade,citigrad
cive,cive
civilities,civil
civilization,civil
clairvoyante,clairvoyant
clare,clare
clarke,clark
clashes,clash
claspknife,claspknif
classes,class
classic,classic
classical,classic
clatter,clatter
clause,claus
clauses,claus
clavipes,clavip
claying,clay
clayver,clayver
cleaner,cleaner
cleanliness,cleanli
cleanse,cleans
cleanses,cleans
clearance,clearanc
clearance,clearanc
clearer,clearer
clearness,clear
cleavage,cleavag
clematis,clemati
clenches,clench
clerical,cleric
clever,clever
cleverer,clever
cleverness,clever
climate,climat
climate,climat
climates,climat
clime,clime
climes,clime
cloe,cloe
cloister,cloister
close,close
closeness,close
closer,closer
closes,close
clothe,cloth
clother,clother
clothes,cloth
clove,clove
clover,clover
cloves,clove
clue,clue
clumsiness,clumsi
cluskie,cluski
cluster,cluster
clutches,clutch
coaches,coach
coachmaker,coachmak
coal,coal
coalition,coalit
coarse,coars
coarseness,coars
coarser,coarser
coavinses,coavins
cobbler,cobbler
cochrane,cochran
cockades,cockad
cockroaches,cockroach
coddle,coddl
code,code
codes,code
codger,codger
coercive,coerciv
coeval,coeval
coextensive,coextens
coffee,coffe
coffeehouse,coffeehous
cogitation,cogit
cognate,cognat
cognate,cognat
coherence,coher
cohesion,cohes
coinage,coinag
coincide,coincid
coincidence,coincid
coincidences,coincid
coincides,coincid
coiner,coiner
coke,coke
colder,colder
coldness,cold
coldnesses,cold
coleridge,coleridg
collapse,collaps
collapses,collaps
collateral,collater
collation,collat
colleague,colleagu
colleagues,colleagu
collection,collect
college,colleg
collier,collier
collieries,collieri
collision,collis
colloquial,colloqui
cologne,cologn
colonies,coloni
colonize,colon
colonize,colon
colonnade,colonnad
colonnades,colonnad
colossal,coloss
colymbetes,colymbet
combative,combat
combative,combat
combativeness,combat
combination,combin
combine,combin
combines,combin
combustion,combust
come,come
comedies,comedi
comeliness,comeli
comer,comer
comes,come
comestibles,comest
comfortable,comfort
comfortabler,comfortabl
comforter,comfort
comic,comic
comical,comic
commander,command
comme,comm
commemorate,commemor
commemorate,commemor
commemoration,commemor
commemorative,commemor
commemorative,commemor
commence,commenc
commencement,commenc
commences,commenc
commendable,commend
commendation,commend
comment,comment
commerce,commerc
commercial,commerci
commiseration,commiser
commission,commiss
commissioner,commission
committee,committe
committees,committe
commodities,commod
commodore,commodor
commoner,common
commonplace,commonplac
commonplaces,commonplac
commotion,commot
commune,commune
communicate,communic
communicate,communic
communicates,communic
communication,communic
communicative,communic
communicative,communic
communion,communion
communities,communiti
compactness,compact
companies,compani
companion,companion
comparable,compar
comparative,compar
comparative,compar
compare,compar
compares,compar
compassion,compass
compassionate,compassion
compassionate,compassion
compatible,compat
compatible,compat
compensate,compens
compensate,compens
compensation,compens
compete,compet
complement,complement
complete,complet
completeness,complet
completes,complet
completion,complet
complexion,complexion
compliance,complianc
compliance,complianc
complication,complic
complies,compli
compliment,compliment
complying,compli
compose,compos
composer,compos
composes,compos
compositae,composita
composite,composit
composition,composit
composure,composur
comprehensible,comprehens
comprehensible,comprehens
comprehension,comprehens
comprehensive,comprehens
compressible,compress
compressible,compress
compression,compress
comprise,compris
comprises,compris
compromise,compromis
compromises,compromis
compter,compter
comptes,compt
compulsion,compuls
compunction,compunct
computation,comput
comrade,comrad
comrades,comrad
concatenation,concaten
concave,concav
conceal,conceal
concealment,conceal
concede,conced
concedes,conced
conceivable,conceiv
conceive,conceiv
conceives,conceiv
concentrate,concentr
concentrate,concentr
concentration,concentr
concepcion,concepcion
conception,concept
concession,concess
conchalee,conchale
conchological,concholog
conciliate,concili
conciliate,concili
conciliation,concili
concise,concis
conclave,conclav
conclaves,conclav
conclude,conclud
concludes,conclud
conclusion,conclus
conclusive,conclus
concourse,concours
concubine,concubin
concurrence,concurr
condemnation,condemn
condense,condens
condescension,condescens
condition,condit
conditional,condit
condole,condol
condolence,condol
condolences,condol
conduce,conduc
conducive,conduc
cone,cone
cones,cone
confabulation,confabul
confectioner,confection
confederate,confeder
confederate,confeder
confederates,confeder
confer,confer
conference,confer
conferences,confer
confervae,conferva
confession,confess
confidante,confidant
confidantes,confidant
confide,confid
confidence,confid
confidences,confid
confidential,confidenti
confides,confid
configuration,configur
confine,confin
confinement,confin
confines,confin
confirmation,confirm
confiscate,confisc
confiscate,confisc
confiscation,confisc
confuse,confus
confuses,confus
confusion,confus
confute,confut
congelation,congel
congenial,congeni
conglomerate,conglomer
conglomerate,conglomer
conglomeration,conglomer
congratulate,congratul
congratulate,congratul
congratulation,congratul
congregate,congreg
congregate,congreg
congregation,congreg
conical,conic
conjecture,conjectur
conjectures,conjectur
conjugal,conjug
conjunction,conjunct
conjuncture,conjunctur
conjuration,conjur
conjure,conjur
conjures,conjur
connection,connect
connexion,connexion
connivance,conniv
connivance,conniv
connubialities,connubi
conquer,conquer
conquerable,conquer
conscience,conscienc
consciences,conscienc
conscientiousness,conscienti
consciousness,conscious
consecutive,consecut
consequence,consequ
consequences,consequ
consequential,consequenti
conservative,conserv
conservative,conserv
conservatives,conserv
conservatories,conservatori
consider,consid
considerable,consider
considerate,consider
considerate,consider
consideration,consider
consignment,consign
consolation,consol
console,consol
consoles,consol
consolidate,consolid
consolidate,consolid
conspire,conspir
constable,constabl
constables,constabl
constance,constanc
constance,constanc
constantinople,constantinopl
consternation,constern
constitootion,constitoot
constituencies,constitu
constitute,constitut
constitutes,constitut
constitution,constitut
constitutional,constitut
construction,construct
construe,constru
consultation,consult
consume,consum
consummate,consumm
consummate,consumm
consummation,consumm
consumption,consumpt
consumptive,consumpt
contagion,contagion
contamination,contamin
contemplate,contempl
contemplate,contempl
contemplates,contempl
contemplation,contempl
contemplative,contempl
contemplative,contempl
contemporaneousness,contemporan
contemporaries,contemporari
contemptible,contempt
contemptible,contempt
contention,content
contentment,content
continental,continent
contingencies,conting
continual,continu
continuance,continu
continuance,continu
continuation,continu
continue,continu
continues,continu
contraction,contract
contradiction,contradict
contradistinction,contradistinct
